"Country","Date","Negative","Positive","Neutral","Total","Prop.negative","boostrap.avg","boostrap.se"
"India",2021-11-15,2,0,14,16,0.125,2.14,0.137818501638711
"India",2021-11-16,1,0,28,29,0.0344827586206897,1.02,0.0963788819653397
"India",2021-11-17,0,1,32,33,0,0,0
"India",2021-11-18,1,0,24,25,0.04,1.07,0.0923924436107393
"India",2021-11-19,1,1,27,29,0.0344827586206897,0.9,0.0926599081904282
"India",2021-11-20,0,1,13,14,0,0,0
"India",2021-11-21,0,3,15,18,0,0,0
"India",2021-11-22,0,1,22,23,0,0,0
"India",2021-11-23,2,0,19,21,0.0952380952380952,1.76,0.135676382646652
"India",2021-11-24,1,2,22,25,0.04,1.15,0.100879966677075
"India",2021-11-25,1,1,30,32,0.03125,1.24,0.109286020805199
"India",2021-11-26,1,1,26,28,0.0357142857142857,1.12,0.0997775303139718
"India",2021-11-27,0,0,0,0,0,0,0
"India",2021-11-28,0,0,0,0,0,0,0
"India",2021-11-29,0,0,0,0,0,0,0
"India",2021-11-30,0,0,0,0,0,0,0
"India",2021-12-01,0,0,0,0,0,0,0
"India",2021-12-02,0,0,0,0,0,0,0
"India",2021-12-03,1,0,0,1,1,1,0
"India",2021-12-04,5,6,45,56,0.0892857142857143,4.79,0.192429968895941
"India",2021-12-05,3,12,31,46,0.0652173913043478,2.94,0.179685471552011
"India",2021-12-06,1,5,23,29,0.0344827586206897,0.85,0.0891882585015845
"India",2021-12-07,1,1,18,20,0.05,1.05,0.094681816969503
"India",2021-12-08,4,0,25,29,0.137931034482759,3.93,0.180490353417482
"India",2021-12-09,1,1,25,27,0.037037037037037,1.19,0.101199872240108
"India",2021-12-10,0,1,32,33,0,0,0
"India",2021-12-11,2,0,18,20,0.1,2,0.132573593055923
"India",2021-12-12,2,1,22,25,0.08,1.96,0.123025824668455
"India",2021-12-13,1,0,28,29,0.0344827586206897,1.16,0.103201284151434
"India",2021-12-14,1,3,21,25,0.04,0.9,0.094815077861588
"India",2021-12-15,1,0,24,25,0.04,1.09,0.109262911540851
"India",2021-12-16,1,0,19,20,0.05,1.05,0.094681816969503
"India",2021-12-17,2,3,23,28,0.0714285714285714,1.99,0.136696227401705
"India",2021-12-18,0,0,0,0,0,0,0
"India",2021-12-19,0,0,0,0,0,0,0
"India",2021-12-20,0,0,0,0,0,0,0
"India",2021-12-21,0,0,0,0,0,0,0
"India",2021-12-22,4,1,14,19,0.210526315789474,3.97,0.155345818200308
"India",2021-12-23,2,0,24,26,0.0769230769230769,1.99,0.156666666666667
"India",2021-12-24,0,1,24,25,0,0,0
"India",2021-12-25,1,8,49,58,0.0172413793103448,0.96,0.0931166315472541
"India",2021-12-26,1,1,25,27,0.037037037037037,1.1,0.0958744970882205
"India",2021-12-27,2,0,35,37,0.0540540540540541,1.92,0.148854209740859
"India",2021-12-28,1,1,30,32,0.03125,1.15,0.0957427107756338
"India",2021-12-29,0,1,28,29,0,0,0
"India",2021-12-30,1,2,23,26,0.0384615384615385,1.02,0.0828531620678804
"India",2021-12-31,0,0,0,0,0,0,0
"India",2022-01-01,0,0,0,0,0,0,0
"India",2022-01-02,0,0,0,0,0,0,0
"India",2022-01-03,0,0,0,0,0,0,0
"India",2022-01-04,0,0,0,0,0,0,0
"India",2022-01-05,0,0,0,0,0,0,0
"India",2022-01-06,0,1,4,5,0,0,0
"India",2022-01-07,2,4,28,34,0.0588235294117647,2.01,0.132188264886628
"India",2022-01-08,1,6,20,27,0.037037037037037,0.95,0.0845367650579595
"India",2022-01-09,1,0,26,27,0.037037037037037,0.91,0.085392735006669
"India",2022-01-10,2,1,54,57,0.0350877192982456,2.03,0.142456798342302
"India",2022-01-11,9,12,62,83,0.108433734939759,8.88,0.267906210032051
"India",2022-01-12,9,4,42,55,0.163636363636364,9.22,0.262690046644445
"India",2022-01-13,2,1,20,23,0.0869565217391304,2.12,0.137275068546493
"India",2022-01-14,0,0,0,0,0,0,0
"India",2022-01-15,3,0,21,24,0.125,3.09,0.182072801512211
"India",2022-01-16,2,17,24,43,0.0465116279069767,1.92,0.144025811379191
"India",2022-01-17,2,5,34,41,0.0487804878048781,1.92,0.125271422491043
"India",2022-01-18,1,2,25,28,0.0357142857142857,0.96,0.0963159783045766
"India",2022-01-19,1,4,27,32,0.03125,1.02,0.100483678759138
"India",2022-01-20,4,3,29,36,0.111111111111111,4.29,0.199643621880529
"India",2022-01-21,1,0,23,24,0.0416666666666667,0.96,0.109101009633414
"India",2022-01-22,1,0,27,28,0.0357142857142857,0.95,0.0936089005523848
"India",2022-01-23,0,0,0,0,0,0,0
"India",2022-01-24,1,1,10,12,0.0833333333333333,1.09,0.101598337694188
"India",2022-01-25,1,1,28,30,0.0333333333333333,0.85,0.0957427107756338
"India",2022-01-26,0,1,21,22,0,0,0
"India",2022-01-27,0,0,23,23,0,0,0
"India",2022-01-28,0,0,21,21,0,0,0
"India",2022-01-29,1,1,21,23,0.0434782608695652,0.91,0.0877266185143346
"India",2022-01-30,1,0,20,21,0.0476190476190476,1.02,0.105390088277175
"India",2022-01-31,1,1,19,21,0.0476190476190476,0.97,0.101955625126569
"India",2022-02-01,0,0,0,0,0,0,0
"India",2022-02-02,1,1,20,22,0.0454545454545455,1.07,0.0977060113118156
"India",2022-02-03,1,1,18,20,0.05,1.11,0.09733312577811
"India",2022-02-04,1,0,25,26,0.0384615384615385,1.12,0.103747946310452
"India",2022-02-05,0,1,22,23,0,0,0
"India",2022-02-06,0,0,24,24,0,0,0
"India",2022-02-07,1,0,26,27,0.037037037037037,1.17,0.0964574538542274
"India",2022-02-08,3,0,21,24,0.125,2.95,0.13734495390671
"India",2022-02-09,0,3,19,22,0,0,0
"India",2022-02-10,0,0,0,0,0,0,0
"India",2022-02-11,0,0,1,1,0,0,0
"India",2022-02-12,0,0,20,20,0,0,0
"India",2022-02-13,0,1,19,20,0,0,0
"India",2022-02-14,0,2,23,25,0,0,0
"India",2022-02-15,4,2,19,25,0.16,4.01,0.177237499737305
"India",2022-02-16,1,1,20,22,0.0454545454545455,0.92,0.0906541880895848
"India",2022-02-17,0,0,17,17,0,0,0
"India",2022-02-18,0,1,24,25,0,0,0
"India",2022-02-19,0,0,1,1,0,0,0
"India",2022-02-20,0,1,15,16,0,0,0
"India",2022-02-21,0,0,22,22,0,0,0
"India",2022-02-22,4,0,18,22,0.181818181818182,3.8,0.184226474588735
"India",2022-02-23,1,0,20,21,0.0476190476190476,0.97,0.088140154689488
"India",2022-02-24,0,0,18,18,0,0,0
"India",2022-02-25,2,1,17,20,0.1,1.99,0.128310702451652
"India",2022-02-26,1,0,18,19,0.0526315789473684,1.09,0.102587730378649
"India",2022-02-27,2,0,13,15,0.133333333333333,1.94,0.123762561856046
"India",2022-02-28,0,0,0,0,0,0,0
"India",2022-03-01,0,0,0,0,0,0,0
"India",2022-03-02,0,0,0,0,0,0,0
"India",2022-03-03,0,0,3,3,0,0,0
"India",2022-03-04,0,0,21,21,0,0,0
"India",2022-03-05,0,0,14,14,0,0,0
"India",2022-03-06,0,0,21,21,0,0,0
"India",2022-03-07,1,0,15,16,0.0625,1.05,0.114922020113948
"India",2022-03-08,2,0,19,21,0.0952380952380952,2.14,0.134854953879561
"India",2022-03-09,1,2,17,20,0.05,0.96,0.102415276638248
"India",2022-03-10,2,0,17,19,0.105263157894737,2.2,0.143548112513055
"India",2022-03-11,0,0,0,0,0,0,0
"India",2022-03-12,1,0,13,14,0.0714285714285714,0.84,0.0884433277428107
"India",2022-03-13,0,0,19,19,0,0,0
"India",2022-03-14,1,2,21,24,0.0416666666666667,1.16,0.107984286174453
"India",2022-03-15,2,0,21,23,0.0869565217391304,1.89,0.131728984101925
"India",2022-03-16,0,8,36,44,0,0,0
"India",2022-03-17,1,1,19,21,0.0476190476190476,1.12,0.113065637502463
"India",2022-03-18,0,0,21,21,0,0,0
"India",2022-03-19,0,0,13,13,0,0,0
"India",2022-03-20,1,0,21,22,0.0454545454545455,1.16,0.0981855592253975
"India",2022-03-21,1,0,15,16,0.0625,0.96,0.102415276638248
"India",2022-03-22,1,0,23,24,0.0416666666666667,1.1,0.106836985235177
"India",2022-03-23,0,2,19,21,0,0,0
"India",2022-03-24,1,1,24,26,0.0384615384615385,1.12,0.124948474228864
"India",2022-03-25,0,0,0,0,0,0,0
"India",2022-03-26,0,0,0,0,0,0,0
"India",2022-03-27,0,0,0,0,0,0,0
"India",2022-03-28,0,0,21,21,0,0,0
"India",2022-03-29,1,0,10,11,0.0909090909090909,0.8,0.0791367567103066
"India",2022-03-30,0,0,23,23,0,0,0
"India",2022-03-31,0,0,25,25,0,0,0
"India",2022-04-01,0,0,18,18,0,0,0
"India",2022-04-02,0,0,18,18,0,0,0
"India",2022-04-03,0,0,22,22,0,0,0
"India",2022-04-04,0,1,22,23,0,0,0
"India",2022-04-05,0,0,22,22,0,0,0
"India",2022-04-06,0,1,21,22,0,0,0
"India",2022-04-07,0,1,16,17,0,0,0
"India",2022-04-08,0,1,22,23,0,0,0
"India",2022-04-09,2,3,23,28,0.0714285714285714,1.84,0.130050495243699
"India",2022-04-10,0,0,18,18,0,0,0
"India",2022-04-11,0,1,20,21,0,0,0
"India",2022-04-12,0,0,21,21,0,0,0
"India",2022-04-13,0,2,20,22,0,0,0
"India",2022-04-14,0,1,17,18,0,0,0
"India",2022-04-15,1,0,24,25,0.04,1.15,0.094681816969503
"India",2022-04-16,1,0,20,21,0.0476190476190476,0.82,0.0880541614776687
"India",2022-04-17,0,0,17,17,0,0,0
"India",2022-04-18,0,0,18,18,0,0,0
"India",2022-04-19,0,0,14,14,0,0,0
"India",2022-04-20,0,0,15,15,0,0,0
"India",2022-04-21,1,0,22,23,0.0434782608695652,1.18,0.101881293571479
"India",2022-04-22,0,0,26,26,0,0,0
"India",2022-04-23,0,1,8,9,0,0,0
"India",2022-04-24,0,0,12,12,0,0,0
"India",2022-04-25,1,0,24,25,0.04,0.9,0.0904534033733291
"India",2022-04-26,1,1,19,21,0.0476190476190476,0.98,0.0984526753975193
"India",2022-04-27,0,3,22,25,0,0,0
"India",2022-04-28,0,0,19,19,0,0,0
"India",2022-04-29,0,0,19,19,0,0,0
"India",2022-04-30,0,0,30,30,0,0,0
"India",2022-05-01,0,0,0,0,0,0,0
"India",2022-05-02,0,0,0,0,0,0,0
"India",2022-05-03,0,0,0,0,0,0,0
"India",2022-05-04,0,0,0,0,0,0,0
"India",2022-05-05,0,0,0,0,0,0,0
"India",2022-05-06,0,1,4,5,0,0,0
"India",2022-05-07,1,1,11,13,0.0769230769230769,1.06,0.101324561023804
"India",2022-05-08,0,0,16,16,0,0,0
"India",2022-05-09,0,0,22,22,0,0,0
"India",2022-05-10,0,0,21,21,0,0,0
"India",2022-05-11,0,0,24,24,0,0,0
"India",2022-05-12,0,0,21,21,0,0,0
"India",2022-05-13,0,1,30,31,0,0,0
"India",2022-05-14,0,0,0,0,0,0,0
"India",2022-05-15,0,0,0,0,0,0,0
"India",2022-05-16,0,0,0,0,0,0,0
"India",2022-05-17,0,0,0,0,0,0,0
"India",2022-05-18,0,0,0,0,0,0,0
"India",2022-05-19,0,0,4,4,0,0,0
"India",2022-05-20,0,0,20,20,0,0,0
"India",2022-05-21,0,0,10,10,0,0,0
"India",2022-05-22,0,0,21,21,0,0,0
"India",2022-05-23,1,0,16,17,0.0588235294117647,1.18,0.114926414753445
"India",2022-05-24,0,0,18,18,0,0,0
"India",2022-05-25,1,1,12,14,0.0714285714285714,0.96,0.104369197050324
"India",2022-05-26,0,0,0,0,0,0,0
"India",2022-05-27,0,0,0,0,0,0,0
"India",2022-05-28,2,1,5,8,0.25,1.91,0.128782174561732
"India",2022-05-29,0,1,2,3,0,0,0
"India",2022-05-30,0,0,1,1,0,0,0
"India",2022-05-31,1,0,18,19,0.0526315789473684,0.97,0.0999545351192686
"India",2022-06-01,0,0,17,17,0,0,0
"India",2022-06-02,0,0,13,13,0,0,0
"India",2022-06-03,0,0,20,20,0,0,0
"India",2022-06-04,3,0,18,21,0.142857142857143,3,0.168774549280537
"India",2022-06-05,0,0,0,0,0,0,0
"India",2022-06-06,0,0,0,0,0,0,0
"India",2022-06-07,0,0,2,2,0,0,0
"India",2022-06-08,0,1,30,31,0,0,0
"India",2022-06-09,0,2,24,26,0,0,0
"India",2022-06-10,0,0,17,17,0,0,0
"India",2022-06-11,1,0,22,23,0.0434782608695652,1.06,0.106192126246571
"India",2022-06-12,1,0,21,22,0.0454545454545455,1.15,0.105767994624407
"India",2022-06-13,0,0,14,14,0,0,0
"India",2022-06-14,1,0,17,18,0.0555555555555556,0.93,0.0901793947214286
"India",2022-06-15,0,0,15,15,0,0,0
"India",2022-06-16,0,0,0,0,0,0,0
"India",2022-06-17,0,0,0,0,0,0,0
"India",2022-06-18,0,0,0,0,0,0,0
"India",2022-06-19,0,0,0,0,0,0,0
"India",2022-06-20,0,0,0,0,0,0,0
"India",2022-06-21,0,0,0,0,0,0,0
"India",2022-06-22,0,0,0,0,0,0,0
"India",2022-06-23,0,0,0,0,0,0,0
"India",2022-06-24,0,0,0,0,0,0,0
"India",2022-06-25,0,0,0,0,0,0,0
"India",2022-06-26,0,0,0,0,0,0,0
"India",2022-06-27,0,0,0,0,0,0,0
"India",2022-06-28,0,0,0,0,0,0,0
"India",2022-06-29,0,0,0,0,0,0,0
"India",2022-06-30,0,0,0,0,0,0,0
"India",2022-07-01,0,0,0,0,0,0,0
"India",2022-07-02,0,0,0,0,0,0,0
"India",2022-07-03,0,0,21,21,0,0,0
"India",2022-07-04,0,0,22,22,0,0,0
"India",2022-07-05,0,0,15,15,0,0,0
"India",2022-07-06,1,0,18,19,0.0526315789473684,1.24,0.10552418459933
"India",2022-07-07,0,0,24,24,0,0,0
"India",2022-07-08,3,0,14,17,0.176470588235294,2.98,0.159532144254708
"India",2022-07-09,0,1,9,10,0,0,0
"India",2022-07-10,0,0,14,14,0,0,0
"India",2022-07-11,0,0,22,22,0,0,0
"India",2022-07-12,1,0,18,19,0.0526315789473684,1.11,0.11
"India",2022-07-13,0,2,30,32,0,0,0
"India",2022-07-14,0,1,19,20,0,0,0
"India",2022-07-15,0,1,24,25,0,0,0
"India",2022-07-16,0,0,31,31,0,0,0
"India",2022-07-17,0,13,18,31,0,0,0
"India",2022-07-18,0,0,0,0,0,0,0
"India",2022-07-19,0,0,0,0,0,0,0
"India",2022-07-20,0,0,0,0,0,0,0
"India",2022-07-21,0,0,0,0,0,0,0
"India",2022-07-22,0,0,0,0,0,0,0
"India",2022-07-23,0,0,0,0,0,0,0
"India",2022-07-24,0,0,0,0,0,0,0
"India",2022-07-25,0,0,0,0,0,0,0
"India",2022-07-26,0,0,0,0,0,0,0
"India",2022-07-27,0,0,0,0,0,0,0
"India",2022-07-28,0,0,0,0,0,0,0
"India",2022-07-29,0,0,0,0,0,0,0
"India",2022-07-30,0,0,0,0,0,0,0
"India",2022-07-31,0,0,0,0,0,0,0
"India",2022-08-01,0,0,0,0,0,0,0
"India",2022-08-02,0,0,0,0,0,0,0
"India",2022-08-03,0,0,0,0,0,0,0
"India",2022-08-04,0,0,0,0,0,0,0
"India",2022-08-05,0,0,0,0,0,0,0
"India",2022-08-06,0,0,0,0,0,0,0
"India",2022-08-07,1,1,1,3,0.333333333333333,1.03,0.080972622883081
"India",2022-08-08,1,0,1,2,0.5,1.06,0.0708106024133492
"India",2022-08-09,0,0,3,3,0,0,0
"India",2022-08-10,0,0,4,4,0,0,0
"India",2022-08-11,2,1,3,6,0.333333333333333,1.99,0.103957061843199
"India",2022-08-12,1,0,6,7,0.142857142857143,1.03,0.088140154689488
"India",2022-08-13,0,0,1,1,0,0,0
"India",2022-08-14,0,1,1,2,0,0,0
"India",2022-08-15,0,0,1,1,0,0,0
"India",2022-08-16,0,0,0,0,0,0,0
"India",2022-08-17,0,0,0,0,0,0,0
"India",2022-08-18,0,0,0,0,0,0,0
"India",2022-08-19,0,0,0,0,0,0,0
"India",2022-08-20,0,0,0,0,0,0,0
"India",2022-08-21,0,0,0,0,0,0,0
"India",2022-08-22,0,0,0,0,0,0,0
"India",2022-08-23,0,0,0,0,0,0,0
"India",2022-08-24,0,0,0,0,0,0,0
"India",2022-08-25,0,0,0,0,0,0,0
"India",2022-08-26,0,0,0,0,0,0,0
"India",2022-08-27,0,0,0,0,0,0,0
"India",2022-08-28,0,0,0,0,0,0,0
"India",2022-08-29,0,0,0,0,0,0,0
"India",2022-08-30,0,0,0,0,0,0,0
"India",2022-08-31,0,0,0,0,0,0,0
"India",2022-09-01,0,0,0,0,0,0,0
"India",2022-09-02,0,0,0,0,0,0,0
"India",2022-09-03,0,0,0,0,0,0,0
"India",2022-09-04,0,0,0,0,0,0,0
"India",2022-09-05,0,0,0,0,0,0,0
"India",2022-09-06,0,0,9,9,0,0,0
"India",2022-09-07,0,0,1,1,0,0,0
"India",2022-09-08,0,0,3,3,0,0,0
"India",2022-09-09,0,0,2,2,0,0,0
"India",2022-09-10,0,0,1,1,0,0,0
"India",2022-09-11,0,0,0,0,0,0,0
"India",2022-09-12,0,0,3,3,0,0,0
"India",2022-09-13,0,0,5,5,0,0,0
"India",2022-09-14,0,1,0,1,0,0,0
